Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
0:01:15,227.9,0.14,16.5,0.159,49.9,0.5,,,
0:01:16,227.7,0.2,25.2,0.159,49.9,0.54,,,
0:01:17,227.7,0.2,25.2,0.159,49.9,0.54,,,
0:01:18,227.6,0.21,26.5,0.159,49.9,0.55,,,
0:01:19,227.4,0.3,39.8,0.159,49.9,0.58,,,
0:01:20,227.3,0.33,44.5,0.159,49.9,0.59,,,
0:01:21,227.3,0.34,45.6,0.159,49.9,0.59,,,
0:01:22,227.3,0.34,45.6,0.159,49.9,0.59,,,
0:01:23,227.3,0.34,45.6,0.159,49.9,0.59,,,
0:01:24,227.3,0.33,44.3,0.159,49.9,0.59,,,
0:01:25,227.5,0.31,41.2,0.159,49.9,0.59,,,
0:01:26,227.5,0.29,38.1,0.159,49.9,0.58,,,
0:01:27,227.3,0.33,44.1,0.159,49.9,0.59,,,
0:01:28,227.4,0.28,36.7,0.159,49.9,0.58,,,
0:01:29,227.4,0.28,36.7,0.159,49.9,0.58,,,
0:01:31,227.4,0.28,36.7,0.159,49.9,0.58,,,
0:01:32,227.4,0.28,37.2,0.159,49.9,0.58,,,
0:01:33,226.9,0.27,36.0,0.159,49.9,0.58,,,
0:01:34,227.5,0.28,36.2,0.159,49.9,0.58,,,
0:01:35,227.5,0.28,36.2,0.159,49.9,0.58,,,
0:01:36,227.3,0.32,42.8,0.159,49.9,0.59,,,
0:01:37,227.2,0.33,44.5,0.159,49.9,0.59,,,
0:01:38,227.2,0.32,42.3,0.159,49.9,0.59,,,
0:01:39,227.3,0.32,42.3,0.159,49.9,0.59,,,
0:01:40,227.3,0.32,42.8,0.159,49.9,0.59,,,
0:01:41,227.3,0.32,42.8,0.159,49.9,0.59,,,
0:01:42,227.4,0.28,36.9,0.159,49.9,0.58,,,
0:01:43,227.5,0.27,35.4,0.159,49.9,0.58,,,
0:01:44,227.5,0.27,35.0,0.159,49.9,0.58,,,
0:01:45,227.5,0.27,35.5,0.159,49.9,0.58,,,
0:01:46,227.5,0.28,36.3,0.159,49.9,0.58,,,
0:01:47,227.5,0.28,36.3,0.159,49.9,0.58,,,
0:01:49,227.3,0.26,34.7,0.159,49.9,0.58,,,
0:01:50,227.3,0.26,34.4,0.159,49.9,0.58,,,
0:01:51,227.2,0.29,37.7,0.159,49.9,0.58,,,
0:01:52,227.0,0.31,41.4,0.159,49.9,0.59,,,
0:01:53,226.9,0.31,41.7,0.159,49.9,0.59,,,
0:01:54,226.9,0.31,41.7,0.16,49.9,0.59,,,
0:01:55,227.1,0.31,40.9,0.16,49.9,0.59,,,
0:01:56,227.1,0.31,41.5,0.16,49.9,0.59,,,
0:01:57,227.5,0.29,39.2,0.16,49.9,0.59,,,
0:01:58,227.8,0.26,33.8,0.16,49.9,0.58,,,
0:01:59,227.7,0.26,34.4,0.16,49.9,0.58,,,
0:02:00,227.7,0.26,34.4,0.16,49.9,0.58,,,
0:02:01,227.6,0.27,35.3,0.16,49.9,0.58,,,
0:02:02,227.7,0.27,35.9,0.16,49.9,0.58,,,
0:02:03,227.8,0.27,35.2,0.16,49.9,0.58,,,
0:02:04,227.7,0.26,34.8,0.16,49.9,0.58,,,
0:02:06,227.6,0.27,35.7,0.16,49.9,0.58,,,
0:02:07,227.6,0.27,35.7,0.16,49.9,0.58,,,
0:02:08,227.5,0.3,40.5,0.16,49.9,0.59,,,
0:02:09,227.5,0.3,39.5,0.16,49.9,0.59,,,
0:02:10,227.5,0.3,39.8,0.16,49.9,0.59,,,
0:02:11,227.5,0.3,39.8,0.16,49.9,0.59,,,
0:02:12,227.5,0.3,39.5,0.16,49.9,0.59,,,
0:02:13,227.5,0.3,39.5,0.16,49.9,0.59,,,
0:02:14,227.7,0.26,33.8,0.16,49.9,0.58,,,
0:02:15,227.7,0.25,32.5,0.16,49.9,0.57,,,
0:02:16,227.7,0.26,34.0,0.16,49.9,0.57,,,
0:02:17,227.7,0.25,32.6,0.16,49.9,0.57,,,
0:02:18,227.7,0.25,32.6,0.16,49.9,0.57,,,
0:02:19,227.7,0.25,32.5,0.16,49.9,0.57,,,
0:02:20,227.7,0.25,32.4,0.16,49.9,0.57,,,
0:02:21,227.7,0.25,32.4,0.16,49.9,0.57,,,
0:02:23,227.6,0.27,35.5,0.16,49.9,0.58,,,
0:02:24,227.5,0.29,38.9,0.16,49.9,0.59,,,
0:02:25,227.5,0.29,38.9,0.16,49.9,0.59,,,
0:02:26,227.5,0.29,38.8,0.16,49.9,0.59,,,
0:02:27,227.5,0.3,40.5,0.16,49.9,0.59,,,
0:02:28,227.6,0.29,39.2,0.16,49.9,0.59,,,
0:02:29,227.7,0.27,36.4,0.16,49.9,0.58,,,
0:02:30,227.9,0.25,32.1,0.16,49.9,0.57,,,
0:02:31,227.9,0.25,32.1,0.16,49.9,0.57,,,
0:02:32,227.9,0.25,32.0,0.16,49.9,0.57,,,
0:02:33,227.9,0.25,33.0,0.16,49.9,0.57,,,
0:02:34,227.9,0.25,33.2,0.16,49.9,0.57,,,
0:02:35,227.9,0.26,34.8,0.16,49.9,0.58,,,
0:02:36,228.1,0.26,33.9,0.16,49.9,0.58,,,
0:02:37,228.1,0.26,33.9,0.16,49.9,0.58,,,
0:02:38,228.2,0.24,31.4,0.16,49.9,0.57,,,
0:02:40,228.0,0.29,38.6,0.16,49.9,0.58,,,
0:02:41,228.0,0.29,38.2,0.16,49.9,0.58,,,
0:02:42,228.0,0.28,38.0,0.16,49.9,0.58,,,
0:02:43,228.0,0.29,38.0,0.16,49.9,0.58,,,
0:02:44,228.0,0.29,38.0,0.16,49.9,0.58,,,
0:02:45,227.9,0.29,38.1,0.16,49.9,0.58,,,
0:02:46,228.2,0.25,32.5,0.16,49.9,0.57,,,
0:02:47,228.3,0.25,32.2,0.16,49.9,0.57,,,
0:02:48,228.3,0.24,31.0,0.16,49.9,0.57,,,
0:02:49,228.2,0.24,30.8,0.16,49.9,0.57,,,
0:02:50,228.2,0.24,30.8,0.16,49.9,0.57,,,
0:02:51,228.0,0.24,30.9,0.16,49.9,0.57,,,
0:02:52,228.1,0.24,30.8,0.16,49.9,0.57,,,
0:02:53,228.1,0.24,30.8,0.16,49.9,0.57,,,
0:02:54,228.1,0.26,34.2,0.16,49.9,0.57,,,
0:02:55,228.1,0.29,38.3,0.16,49.9,0.58,,,
0:02:57,228.1,0.29,38.3,0.16,49.9,0.58,,,
0:02:58,227.9,0.29,38.3,0.16,49.9,0.59,,,
0:02:59,227.3,0.28,37.6,0.16,49.9,0.58,,,
0:03:00,227.6,0.28,37.7,0.16,49.9,0.58,,,
0:03:01,227.6,0.26,35.2,0.16,49.9,0.58,,,
0:03:02,227.8,0.24,30.5,0.16,49.9,0.57,,,
0:03:03,227.8,0.24,30.5,0.16,49.9,0.57,,,
0:03:04,227.8,0.24,30.4,0.16,49.9,0.57,,,
0:03:05,227.8,0.24,30.6,0.16,49.9,0.57,,,
0:03:06,227.8,0.25,31.8,0.16,49.9,0.57,,,
0:03:07,227.8,0.25,33.5,0.16,49.9,0.58,,,
0:03:08,227.8,0.25,33.5,0.16,49.9,0.58,,,
0:03:09,227.7,0.26,33.6,0.16,49.9,0.58,,,
0:03:10,227.6,0.25,32.0,0.16,49.9,0.57,,,
0:03:11,227.3,0.29,38.1,0.16,49.9,0.58,,,
0:03:12,227.1,0.28,36.9,0.16,49.9,0.58,,,
