Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
14:04:33,218,1.39,303.1,0.135,49.9,1,,,
14:04:34,218,1.39,303.1,0.135,49.9,1,,,
14:04:35,218,1.39,303.1,0.136,50,1,,,
14:04:36,218,1.39,303,0.136,50,1,,,
14:04:37,218,1.39,303,0.136,49.9,1,,,
14:04:39,218.1,1.39,303.2,0.136,50,1,,,
14:04:40,218.1,1.39,303.4,0.136,50,1,,,
14:04:41,218.1,1.39,303.4,0.136,50,1,,,
14:04:42,218.2,1.39,303.4,0.136,49.9,1,,,
14:04:43,218.1,1.39,303.3,0.136,49.9,1,,,
14:04:44,218.1,1.39,303.2,0.136,49.9,1,,,
14:04:45,218.1,1.39,303.4,0.136,50,1,,,
14:04:46,218,1.39,303,0.137,49.9,1,,,
14:04:47,218,1.39,303,0.137,49.9,1,,,
14:04:48,218.2,1.39,303.5,0.137,50,1,,,
14:04:49,218.2,1.39,303.7,0.137,49.9,1,,,
14:04:50,218.2,1.39,303.7,0.137,49.9,1,,,
14:04:51,218.2,1.39,303.6,0.137,50,1,,,
14:04:52,218.2,1.39,303.6,0.137,49.9,1,,,
14:04:53,218.2,1.39,303.6,0.137,50,1,,,
14:04:54,218.2,1.39,303.5,0.137,49.9,1,,,
14:04:56,218.2,1.39,303.7,0.137,50,1,,,
14:04:57,218.5,1.39,304.3,0.137,49.9,1,,,
14:04:58,218.5,1.39,304.4,0.137,49.9,1,,,
14:04:59,218.5,1.39,304.4,0.138,50,1,,,
14:05:00,218.4,1.39,304.3,0.138,50,1,,,
14:05:01,218.7,1.39,305,0.138,50,1,,,
14:05:02,219,1.4,305.8,0.138,49.9,1,,,
14:05:03,219,1.4,305.8,0.138,49.9,1,,,
14:05:04,219,1.4,305.7,0.138,50,1,,,
14:05:05,219,1.4,305.7,0.138,49.9,1,,,
14:05:06,219,1.4,305.7,0.138,50,1,,,
14:05:07,218.9,1.4,305.7,0.138,49.9,1,,,
14:05:08,218.9,1.4,305.6,0.138,50,1,,,
14:05:09,218.3,1.39,304,0.139,49.9,1,,,
14:05:10,218.4,1.39,304.2,0.139,50,1,,,
14:05:11,218.4,1.39,304.2,0.139,49.9,1,,,
14:05:13,218.5,1.39,304.5,0.139,49.9,1,,,
14:05:14,218.4,1.39,304.3,0.139,49.9,1,,,
14:05:15,218.5,1.39,304.5,0.139,49.9,1,,,
14:05:16,218.5,1.39,304.5,0.139,49.9,1,,,
14:05:17,218.5,1.39,304.3,0.139,49.9,1,,,
14:05:18,218.5,1.39,304.3,0.139,49.9,1,,,
14:05:21,218.4,1.39,304.3,0.139,50,1,,,
14:05:22,218.4,1.39,304.3,0.139,49.9,1,,,
14:05:22,218.5,1.39,304.4,0.139,49.9,1,,,
14:05:22,218.6,1.39,304.6,0.14,49.9,1,,,
14:05:23,218.6,1.39,304.7,0.14,49.9,1,,,
14:05:24,218.6,1.39,304.7,0.14,49.9,1,,,
14:05:25,218.6,1.39,304.7,0.14,49.9,1,,,
14:05:26,218.6,1.39,304.7,0.14,49.9,1,,,
14:05:27,218.7,1.39,304.8,0.14,49.9,1,,,
14:05:28,218.6,1.39,304.8,0.14,49.9,1,,,
14:05:30,218.7,1.39,304.8,0.14,49.9,1,,,
14:05:31,218.7,1.39,304.8,0.14,49.9,1,,,
14:05:32,218.7,1.39,304.9,0.14,49.9,1,,,
14:05:33,218.7,1.4,305.1,0.14,49.9,1,,,
14:05:34,218.7,1.39,304.9,0.141,49.9,1,,,
14:05:35,218.7,1.39,305,0.141,50,1,,,
14:05:36,218.8,1.4,305.2,0.141,49.9,1,,,
14:05:37,218.8,1.4,305.2,0.141,49.9,1,,,
14:05:38,218.7,1.4,305.2,0.141,50,1,,,
14:05:39,218.6,1.39,304.8,0.141,50,1,,,
