Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
15:48:36,229.3,0.06,2.4,0,49.9,0.16,,,
15:48:37,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:38,229.5,0.06,2.4,0,49.9,0.16,,,
15:48:39,229.6,0.06,2.3,0,50,0.16,,,
15:48:40,229.6,0.06,2.3,0,49.9,0.16,,,
15:48:41,229.7,0.06,2.4,0,49.9,0.16,,,
15:48:43,229.6,0.06,2.4,0,49.9,0.16,,,
15:48:44,229.5,0.06,2.3,0,50,0.16,,,
15:48:45,229.4,0.06,2.4,0,50,0.16,,,
15:48:46,229.4,0.06,2.3,0,49.9,0.16,,,
15:48:47,229.4,0.06,2.3,0,50,0.16,,,
15:48:48,229.4,0.06,2.4,0,50,0.16,,,
15:48:49,229.5,0.06,2.4,0,50,0.16,,,
15:48:50,229.5,0.06,2.3,0,49.9,0.15,,,
15:48:51,229.4,0.06,2.3,0,49.9,0.16,,,
15:48:52,229.4,0.06,2.4,0,50,0.16,,,
15:48:53,229.4,0.06,2.4,0,49.9,0.16,,,
15:48:54,229.5,0.06,2.4,0,50,0.16,,,
15:48:55,229.6,0.06,2.4,0,49.9,0.16,,,
15:48:56,229.7,0.06,2.3,0,50,0.16,,,
15:48:57,229.7,0.06,2.3,0,50,0.16,,,
15:48:58,229.8,0.06,2.4,0,49.9,0.16,,,
15:49:00,229.8,0.06,2.4,0,50,0.16,,,
15:49:01,229.8,0.06,2.3,0,50,0.15,,,
15:49:02,229.7,0.06,2.4,0,50,0.16,,,
15:49:03,229.7,0.06,2.4,0,49.9,0.16,,,
15:49:04,229.6,0.06,2.4,0,49.9,0.16,,,
15:49:05,229.6,0.06,2.4,0,50,0.16,,,
15:49:06,229.7,0.06,2.3,0,50,0.16,,,
15:49:07,229.8,0.06,2.4,0,49.9,0.16,,,
15:49:08,229.8,0.06,2.4,0,49.9,0.16,,,
15:49:09,229.8,0.06,2.4,0,49.9,0.16,,,
15:49:10,229.7,0.06,2.4,0,49.9,0.16,,,
15:49:11,229.7,0.06,2.4,0,49.9,0.16,,,
15:49:12,229.8,0.06,2.3,0,50,0.16,,,
15:49:13,229.8,0.06,2.3,0,49.9,0.16,,,
15:49:14,229.8,0.06,2.3,0,50,0.16,,,
15:49:15,229.7,0.06,2.3,0,49.9,0.15,,,
15:49:16,229.7,0.06,2.3,0,50,0.15,,,
15:49:18,229.7,0.06,2.3,0,49.9,0.15,,,
15:49:19,229.7,0.06,2.4,0,50,0.16,,,
15:49:20,229.6,0.06,2.4,0,50,0.16,,,
15:49:21,229.7,0.06,2.3,0,50,0.16,,,
15:49:22,229.7,0.06,2.4,0,49.9,0.16,,,
15:49:23,229.8,0.06,2.4,0,50,0.16,,,
15:49:24,229.8,0.06,2.4,0,50,0.16,,,
15:49:25,229.9,0.06,2.4,0,50,0.16,,,
15:49:26,229.9,0.06,2.3,0,50,0.16,,,
15:49:27,229.9,0.06,2.3,0,50,0.16,,,
15:49:28,229.9,0.06,2.4,0,50,0.16,,,
15:49:29,229.9,0.06,2.3,0,50,0.16,,,
15:49:30,229.9,0.06,2.3,0,50,0.16,,,
15:49:31,229.9,0.06,2.3,0,50,0.16,,,
15:49:32,229.9,0.06,2.4,0,50,0.16,,,
15:49:33,229.9,0.06,2.4,0,50,0.16,,,
15:49:35,229.8,0.06,2.3,0,50,0.15,,,
15:49:36,229.8,0.06,2.3,0,50,0.16,,,
15:49:37,229.8,0.06,2.3,0,50,0.16,,,
15:49:38,229.7,0.06,2.3,0,50,0.16,,,
15:49:39,229.7,0.06,2.3,0,49.9,0.15,,,
15:49:40,229.7,0.06,2.4,0,50,0.16,,,
15:49:41,229.6,0.06,2.3,0,50,0.16,,,
15:49:42,229.6,0.06,2.3,0,50,0.16,,,
15:49:43,229.6,0.06,2.3,0,50,0.16,,,
15:49:44,229.6,0.06,2.3,0,50,0.16,,,
15:49:45,229.6,0.06,2.4,0,50,0.16,,,
15:49:46,229.6,0.06,2.3,0,50,0.16,,,
15:49:47,229.7,0.06,2.4,0,50,0.16,,,
15:49:48,229.6,0.06,2.3,0,50,0.16,,,
15:49:49,229.6,0.06,2.3,0,50,0.16,,,
15:49:50,229.6,0.06,2.4,0,50,0.16,,,
15:49:52,229.7,0.06,2.3,0,50,0.16,,,
15:49:53,229.7,0.06,2.4,0,50,0.16,,,
15:49:54,229.7,0.06,2.3,0,50,0.16,,,
15:49:55,229.7,0.06,2.3,0,50,0.16,,,
15:49:56,229.6,0.06,2.4,0,50,0.16,,,
15:49:57,229.6,0.06,2.3,0,50,0.16,,,
15:49:58,229.6,0.06,2.3,0,50,0.16,,,
15:49:59,229.5,0.06,2.3,0,50,0.16,,,
15:50:00,229.5,0.06,2.3,0,50,0.16,,,
15:50:01,229.5,0.06,2.3,0,50,0.16,,,
15:50:02,229.7,0.06,2.4,0,50,0.16,,,
15:50:03,229.7,0.06,2.3,0,50,0.16,,,
15:50:04,229.8,0.06,2.3,0,50,0.16,,,
15:50:05,229.7,0.06,2.4,0,50,0.16,,,
15:50:06,229.7,0.06,2.3,0,50,0.16,,,
15:50:07,229.7,0.06,2.3,0,49.9,0.16,,,
15:50:09,229.7,0.06,2.3,0,50,0.16,,,
15:50:10,229.8,0.06,2.3,0,50,0.15,,,
15:50:11,229.7,0.06,2.3,0,50,0.16,,,
15:50:12,229.7,0.06,2.4,0,49.9,0.16,,,
15:50:13,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:14,229.6,0.06,2.3,0,50,0.16,,,
15:50:15,229.5,0.06,2.4,0,49.9,0.16,,,
